transaction_id,player_id,country,operator,type,direction,amount,currency,status,balance_after,date_time
TX10001,PLR1001,Georgia,Viper Direct,DEPOSIT,CREDIT,50.00,EUR,APPROVED,50.00,2026-08-20 10:15:00
TX10002,PLR1002,Turkey,Operator A,DEPOSIT,CREDIT,25.00,EUR,APPROVED,25.00,2026-08-20 10:22:00
TX10003,PLR1001,Georgia,Viper Direct,GAME_ENTRY,DEBIT,5.00,EUR,APPROVED,45.00,2026-08-20 10:30:00
TX10004,PLR1003,Armenia,Operator B,DEPOSIT,CREDIT,100.00,EUR,PENDING,0.00,2026-08-20 10:45:00
TX10005,PLR1001,Georgia,Viper Direct,GAME_WIN,CREDIT,18.50,EUR,APPROVED,63.50,2026-08-20 10:48:00
TX10006,PLR1004,Spain,Operator A,WITHDRAWAL,DEBIT,30.00,EUR,APPROVED,72.00,2026-08-20 11:05:00
TX10007,PLR1005,Germany,Operator C,DEPOSIT,CREDIT,75.00,EUR,FAILED,0.00,2026-08-20 11:20:00
TX10008,PLR1002,Turkey,Operator A,GAME_ENTRY,DEBIT,10.00,EUR,APPROVED,15.00,2026-08-20 11:31:00
TX10009,PLR1002,Turkey,Operator A,GAME_WIN,CREDIT,27.40,EUR,APPROVED,42.40,2026-08-20 11:35:00
TX10010,PLR1006,Italy,Operator C,DEPOSIT,CREDIT,40.00,EUR,APPROVED,40.00,2026-08-20 11:52:00
TX10011,PLR1003,Armenia,Operator B,DEPOSIT,CREDIT,100.00,EUR,APPROVED,100.00,2026-08-20 12:01:00
TX10012,PLR1003,Armenia,Operator B,WITHDRAWAL,DEBIT,60.00,EUR,PENDING,100.00,2026-08-20 12:20:00
